Qaz321!@,Account,Status
11/11/2022 09:05:21,Pinky_MALAYSIA23,Cookies successfully imported for 'Pinky_MALAYSIA23'.
11/11/2022 09:05:26,Pinky_MALAYSIA9,Cookies successfully imported for 'Pinky_MALAYSIA9'.
11/11/2022 09:05:32,Pinky_MALAYSIA10,Cookies successfully imported for 'Pinky_MALAYSIA10'.
11/11/2022 09:05:37,Pinky_MALAYSIA13,Cookies successfully imported for 'Pinky_MALAYSIA13'.
11/11/2022 09:05:43,Pinky_MALAYSIA18,Cookies successfully imported for 'Pinky_MALAYSIA18'.
11/11/2022 09:05:50,Pinky_MALAYSIA11,Cookies successfully imported for 'Pinky_MALAYSIA11'.
11/11/2022 09:05:56,Pinky_MALAYSIA7,Cookies successfully imported for 'Pinky_MALAYSIA7'.
11/11/2022 09:06:02,Pinky_MALAYSIA34,Cookies successfully imported for 'Pinky_MALAYSIA34'.
11/11/2022 09:06:08,Pinky_MALAYSIA16,Cookies successfully imported for 'Pinky_MALAYSIA16'.
11/11/2022 09:06:18,Pinky_MALAYSIA62,Cookies successfully imported for 'Pinky_MALAYSIA62'.
11/11/2022 09:06:26,Pinky_MALAYSIA49,Cookies successfully imported for 'Pinky_MALAYSIA49'.
11/11/2022 09:06:35,Pinky_MALAYSIA17,Cookies successfully imported for 'Pinky_MALAYSIA17'.
11/11/2022 09:06:41,Pinky_MALAYSIA27,Cookies successfully imported for 'Pinky_MALAYSIA27'.
11/11/2022 09:06:47,Pinky_MALAYSIA6,Cookies successfully imported for 'Pinky_MALAYSIA6'.
11/11/2022 09:06:52,Pinky_MALAYSIA46,Cookies successfully imported for 'Pinky_MALAYSIA46'.
11/11/2022 09:06:57,Pinky_MALAYSIA50,Cookies successfully imported for 'Pinky_MALAYSIA50'.
11/11/2022 09:07:03,Pinky_MALAYSIA67,Cookies successfully imported for 'Pinky_MALAYSIA67'.
11/11/2022 09:07:10,Pinky_MALAYSIA24,Cookies successfully imported for 'Pinky_MALAYSIA24'.
11/11/2022 09:07:18,Pinky_MALAYSIA25,Cookies successfully imported for 'Pinky_MALAYSIA25'.
11/11/2022 09:07:26,Pinky_MALAYSIA28,Cookies successfully imported for 'Pinky_MALAYSIA28'.
11/11/2022 09:07:34,Pinky_MALAYSIA52,Cookies successfully imported for 'Pinky_MALAYSIA52'.
11/11/2022 09:07:41,Pinky_MALAYSIA20,Cookies successfully imported for 'Pinky_MALAYSIA20'.
11/11/2022 09:07:47,Pinky_MALAYSIA59,Cookies successfully imported for 'Pinky_MALAYSIA59'.
11/11/2022 09:07:53,Pinky_MALAYSIA32,Cookies successfully imported for 'Pinky_MALAYSIA32'.
11/11/2022 09:07:58,Pinky_MALAYSIA31,Cookies successfully imported for 'Pinky_MALAYSIA31'.
11/11/2022 09:08:04,Pinky_MALAYSIA33,Cookies successfully imported for 'Pinky_MALAYSIA33'.
11/11/2022 09:08:12,Pinky_MALAYSIA30,Cookies successfully imported for 'Pinky_MALAYSIA30'.
11/11/2022 09:08:18,Pinky_MALAYSIA19,Cookies successfully imported for 'Pinky_MALAYSIA19'.
11/11/2022 09:08:25,Pinky_MALAYSIA45,Cookies successfully imported for 'Pinky_MALAYSIA45'.
11/11/2022 09:08:32,Pinky_MALAYSIA29,Cookies successfully imported for 'Pinky_MALAYSIA29'.
11/11/2022 09:08:37,Pinky_MALAYSIA26,Cookies successfully imported for 'Pinky_MALAYSIA26'.
11/11/2022 09:08:42,Pinky_MALAYSIA56,Cookies successfully imported for 'Pinky_MALAYSIA56'.
11/11/2022 09:08:49,Pinky_MALAYSIA57,Cookies successfully imported for 'Pinky_MALAYSIA57'.
11/11/2022 09:09:01,Pinky_MALAYSIA39,Cookies successfully imported for 'Pinky_MALAYSIA39'.
11/11/2022 09:09:08,Pinky_MALAYSIA41,Cookies successfully imported for 'Pinky_MALAYSIA41'.
11/11/2022 09:09:14,Pinky_MALAYSIA55,Cookies successfully imported for 'Pinky_MALAYSIA55'.
11/11/2022 09:09:20,Pinky_MALAYSIA3,Cookies successfully imported for 'Pinky_MALAYSIA3'.
11/11/2022 09:09:27,Pinky_MALAYSIA53,Cookies successfully imported for 'Pinky_MALAYSIA53'.
11/11/2022 09:09:32,Pinky_MALAYSIA54,Cookies successfully imported for 'Pinky_MALAYSIA54'.
11/11/2022 09:09:38,Pinky_MALAYSIA43,Cookies successfully imported for 'Pinky_MALAYSIA43'.
11/11/2022 09:09:45,Pinky_MALAYSIA1,Cookies successfully imported for 'Pinky_MALAYSIA1'.
11/11/2022 09:09:51,Pinky_MALAYSIA37,Cookies successfully imported for 'Pinky_MALAYSIA37'.
11/11/2022 09:09:59,Pinky_MALAYSIA38,Cookies successfully imported for 'Pinky_MALAYSIA38'.
11/11/2022 09:10:04,Pinky_MALAYSIA1,Comment&Like - 'Pinky_MALAYSIA1' is active
11/11/2022 09:10:05,Pinky_MALAYSIA1,Comment&Like - 'Pinky_MALAYSIA1' - Liking by using https://www.facebook.com/groups/431887672302308
11/11/2022 09:10:06,Pinky_MALAYSIA63,Cookies successfully imported for 'Pinky_MALAYSIA63'.
11/11/2022 09:10:12,Pinky_MALAYSIA2,Comment&Like - 'Pinky_MALAYSIA2' is active
11/11/2022 09:10:12,Pinky_MALAYSIA3,Comment&Like - 'Pinky_MALAYSIA3' is active
11/11/2022 09:10:12,Pinky_MALAYSIA4,Comment&Like - 'Pinky_MALAYSIA4' is active
11/11/2022 09:10:12,Pinky_MALAYSIA5,Comment&Like - 'Pinky_MALAYSIA5' is active
11/11/2022 09:10:12,Pinky_MALAYSIA7,Comment&Like - 'Pinky_MALAYSIA7' is active
11/11/2022 09:10:12,Pinky_MALAYSIA8,Comment&Like - 'Pinky_MALAYSIA8' is active
11/11/2022 09:10:12,Pinky_MALAYSIA9,Comment&Like - 'Pinky_MALAYSIA9' is active
11/11/2022 09:10:12,Pinky_MALAYSIA10,Comment&Like - 'Pinky_MALAYSIA10' is active
11/11/2022 09:10:12,Pinky_MALAYSIA11,Comment&Like - 'Pinky_MALAYSIA11' is active
11/11/2022 09:10:12,Pinky_MALAYSIA12,Comment&Like - 'Pinky_MALAYSIA12' is active
11/11/2022 09:10:12,Pinky_MALAYSIA13,Comment&Like - 'Pinky_MALAYSIA13' is active
11/11/2022 09:10:12,Pinky_MALAYSIA14,Comment&Like - 'Pinky_MALAYSIA14' is active
11/11/2022 09:10:12,Pinky_MALAYSIA15,Comment&Like - 'Pinky_MALAYSIA15' is active
11/11/2022 09:10:12,Pinky_MALAYSIA16,Comment&Like - 'Pinky_MALAYSIA16' is active
11/11/2022 09:10:12,Pinky_MALAYSIA17,Comment&Like - 'Pinky_MALAYSIA17' is active
11/11/2022 09:10:12,Pinky_MALAYSIA18,Comment&Like - 'Pinky_MALAYSIA18' is active
11/11/2022 09:10:12,Pinky_MALAYSIA19,Comment&Like - 'Pinky_MALAYSIA19' is active
11/11/2022 09:10:12,Pinky_MALAYSIA20,Comment&Like - 'Pinky_MALAYSIA20' is active
11/11/2022 09:10:12,Pinky_MALAYSIA21,Comment&Like - 'Pinky_MALAYSIA21' is active
11/11/2022 09:10:12,Pinky_MALAYSIA22,Comment&Like - 'Pinky_MALAYSIA22' is active
11/11/2022 09:10:12,Pinky_MALAYSIA23,Comment&Like - 'Pinky_MALAYSIA23' is active
11/11/2022 09:10:12,Pinky_MALAYSIA24,Comment&Like - 'Pinky_MALAYSIA24' is active
11/11/2022 09:10:12,Pinky_MALAYSIA25,Comment&Like - 'Pinky_MALAYSIA25' is active
11/11/2022 09:10:12,Pinky_MALAYSIA26,Comment&Like - 'Pinky_MALAYSIA26' is active
11/11/2022 09:10:12,Pinky_MALAYSIA27,Comment&Like - 'Pinky_MALAYSIA27' is active
11/11/2022 09:10:12,Pinky_MALAYSIA28,Comment&Like - 'Pinky_MALAYSIA28' is active
11/11/2022 09:10:12,Pinky_MALAYSIA29,Comment&Like - 'Pinky_MALAYSIA29' is active
11/11/2022 09:10:13,Pinky_MALAYSIA30,Comment&Like - 'Pinky_MALAYSIA30' is active
11/11/2022 09:10:13,Pinky_MALAYSIA31,Comment&Like - 'Pinky_MALAYSIA31' is active
11/11/2022 09:10:13,Pinky_MALAYSIA32,Comment&Like - 'Pinky_MALAYSIA32' is active
11/11/2022 09:10:13,Pinky_MALAYSIA33,Comment&Like - 'Pinky_MALAYSIA33' is active
11/11/2022 09:10:13,Pinky_MALAYSIA34,Comment&Like - 'Pinky_MALAYSIA34' is active
11/11/2022 09:10:13,Pinky_MALAYSIA35,Comment&Like - 'Pinky_MALAYSIA35' is active
11/11/2022 09:10:13,Pinky_MALAYSIA36,Comment&Like - 'Pinky_MALAYSIA36' is active
11/11/2022 09:10:13,Pinky_MALAYSIA37,Comment&Like - 'Pinky_MALAYSIA37' is active
11/11/2022 09:10:13,Pinky_MALAYSIA38,Comment&Like - 'Pinky_MALAYSIA38' is active
11/11/2022 09:10:13,Pinky_MALAYSIA39,Comment&Like - 'Pinky_MALAYSIA39' is active
11/11/2022 09:10:13,Pinky_MALAYSIA40,Comment&Like - 'Pinky_MALAYSIA40' is active
11/11/2022 09:10:13,Pinky_MALAYSIA41,Comment&Like - 'Pinky_MALAYSIA41' is active
11/11/2022 09:10:13,Pinky_MALAYSIA42,Comment&Like - 'Pinky_MALAYSIA42' is active
11/11/2022 09:10:13,Pinky_MALAYSIA43,Comment&Like - 'Pinky_MALAYSIA43' is active
11/11/2022 09:10:13,Pinky_MALAYSIA44,Comment&Like - 'Pinky_MALAYSIA44' is active
11/11/2022 09:10:13,Pinky_MALAYSIA45,Comment&Like - 'Pinky_MALAYSIA45' is active
11/11/2022 09:10:13,Pinky_MALAYSIA46,Comment&Like - 'Pinky_MALAYSIA46' is active
11/11/2022 09:10:13,Pinky_MALAYSIA47,Comment&Like - 'Pinky_MALAYSIA47' is active
11/11/2022 09:10:13,Pinky_MALAYSIA48,Comment&Like - 'Pinky_MALAYSIA48' is active
11/11/2022 09:10:13,Pinky_MALAYSIA49,Comment&Like - 'Pinky_MALAYSIA49' is active
11/11/2022 09:10:13,Pinky_MALAYSIA50,Comment&Like - 'Pinky_MALAYSIA50' is active
11/11/2022 09:10:13,Pinky_MALAYSIA51,Comment&Like - 'Pinky_MALAYSIA51' is active
11/11/2022 09:10:13,Pinky_MALAYSIA52,Comment&Like - 'Pinky_MALAYSIA52' is active
11/11/2022 09:10:13,Pinky_MALAYSIA53,Comment&Like - 'Pinky_MALAYSIA53' is active
11/11/2022 09:10:13,Pinky_MALAYSIA54,Comment&Like - 'Pinky_MALAYSIA54' is active
11/11/2022 09:10:13,Pinky_MALAYSIA55,Comment&Like - 'Pinky_MALAYSIA55' is active
11/11/2022 09:10:13,Pinky_MALAYSIA56,Comment&Like - 'Pinky_MALAYSIA56' is active
11/11/2022 09:10:13,Pinky_MALAYSIA57,Comment&Like - 'Pinky_MALAYSIA57' is active
11/11/2022 09:10:13,Pinky_MALAYSIA58,Comment&Like - 'Pinky_MALAYSIA58' is active
11/11/2022 09:10:13,Pinky_MALAYSIA59,Comment&Like - 'Pinky_MALAYSIA59' is active
11/11/2022 09:10:13,Pinky_MALAYSIA60,Comment&Like - 'Pinky_MALAYSIA60' is active
11/11/2022 09:10:13,Pinky_MALAYSIA61,Comment&Like - 'Pinky_MALAYSIA61' is active
11/11/2022 09:10:13,Pinky_MALAYSIA62,Comment&Like - 'Pinky_MALAYSIA62' is active
11/11/2022 09:10:13,Pinky_MALAYSIA63,Comment&Like - 'Pinky_MALAYSIA63' is active
11/11/2022 09:10:13,Pinky_MALAYSIA64,Comment&Like - 'Pinky_MALAYSIA64' is active
11/11/2022 09:10:13,Pinky_MALAYSIA65,Comment&Like - 'Pinky_MALAYSIA65' is active
11/11/2022 09:10:13,Pinky_MALAYSIA66,Comment&Like - 'Pinky_MALAYSIA66' is active
11/11/2022 09:10:13,Pinky_MALAYSIA67,Comment&Like - 'Pinky_MALAYSIA67' is active
11/11/2022 09:10:13,Pinky_MALAYSIA68,Comment&Like - 'Pinky_MALAYSIA68' is active
11/11/2022 09:10:13,Pinky_MALAYSIA69,Comment&Like - 'Pinky_MALAYSIA69' is active
11/11/2022 09:10:13,Pinky_MALAYSIA70,Comment&Like - 'Pinky_MALAYSIA70' is active
11/11/2022 09:10:13,Pinky_MALAYSIA6,Comment&Like - 'Pinky_MALAYSIA6' is active
11/11/2022 09:10:14,Pinky_MALAYSIA64,Cookies successfully imported for 'Pinky_MALAYSIA64'.
11/11/2022 09:10:20,Pinky_MALAYSIA66,Cookies successfully imported for 'Pinky_MALAYSIA66'.
11/11/2022 09:10:27,Pinky_MALAYSIA2,Cookies successfully imported for 'Pinky_MALAYSIA2'.
11/11/2022 09:10:34,Pinky_MALAYSIA8,Cookies successfully imported for 'Pinky_MALAYSIA8'.
11/11/2022 09:10:42,Pinky_MALAYSIA58,Cookies successfully imported for 'Pinky_MALAYSIA58'.
11/11/2022 09:10:48,Pinky_MALAYSIA61,Cookies successfully imported for 'Pinky_MALAYSIA61'.
11/11/2022 09:10:57,Pinky_MALAYSIA69,Cookies successfully imported for 'Pinky_MALAYSIA69'.
11/11/2022 09:11:04,Pinky_MALAYSIA68,Cookies successfully imported for 'Pinky_MALAYSIA68'.
11/11/2022 09:11:10,Pinky_MALAYSIA12,Cookies successfully imported for 'Pinky_MALAYSIA12'.
11/11/2022 09:11:18,Pinky_MALAYSIA48,Cookies successfully imported for 'Pinky_MALAYSIA48'.
11/11/2022 09:11:23,Pinky_MALAYSIA1,Group Joiner - 'Pinky_MALAYSIA1' -  is active
11/11/2022 09:11:26,Pinky_MALAYSIA60,Cookies successfully imported for 'Pinky_MALAYSIA60'.
11/11/2022 09:11:28,Pinky_MALAYSIA1,Comment&Like - Pinky_MALAYSIA1 - Finished operation
11/11/2022 09:11:31,Pinky_MALAYSIA2,Group Joiner - 'Pinky_MALAYSIA2' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA3,Group Joiner - 'Pinky_MALAYSIA3' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA4,Group Joiner - 'Pinky_MALAYSIA4' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA5,Group Joiner - 'Pinky_MALAYSIA5' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA7,Group Joiner - 'Pinky_MALAYSIA7' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA8,Group Joiner - 'Pinky_MALAYSIA8' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA9,Group Joiner - 'Pinky_MALAYSIA9' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA10,Group Joiner - 'Pinky_MALAYSIA10' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA11,Group Joiner - 'Pinky_MALAYSIA11' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA12,Group Joiner - 'Pinky_MALAYSIA12' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA13,Group Joiner - 'Pinky_MALAYSIA13' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA14,Group Joiner - 'Pinky_MALAYSIA14' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA15,Group Joiner - 'Pinky_MALAYSIA15' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA16,Group Joiner - 'Pinky_MALAYSIA16' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA17,Group Joiner - 'Pinky_MALAYSIA17' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA18,Group Joiner - 'Pinky_MALAYSIA18' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA19,Group Joiner - 'Pinky_MALAYSIA19' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA20,Group Joiner - 'Pinky_MALAYSIA20' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA21,Group Joiner - 'Pinky_MALAYSIA21' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA22,Group Joiner - 'Pinky_MALAYSIA22' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA23,Group Joiner - 'Pinky_MALAYSIA23' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA24,Group Joiner - 'Pinky_MALAYSIA24' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA25,Group Joiner - 'Pinky_MALAYSIA25' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA26,Group Joiner - 'Pinky_MALAYSIA26' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA27,Group Joiner - 'Pinky_MALAYSIA27' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA28,Group Joiner - 'Pinky_MALAYSIA28' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA29,Group Joiner - 'Pinky_MALAYSIA29' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA30,Group Joiner - 'Pinky_MALAYSIA30' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA31,Group Joiner - 'Pinky_MALAYSIA31' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA32,Group Joiner - 'Pinky_MALAYSIA32' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA33,Group Joiner - 'Pinky_MALAYSIA33' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA34,Group Joiner - 'Pinky_MALAYSIA34' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA35,Group Joiner - 'Pinky_MALAYSIA35' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA36,Group Joiner - 'Pinky_MALAYSIA36' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA37,Group Joiner - 'Pinky_MALAYSIA37' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA38,Group Joiner - 'Pinky_MALAYSIA38' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA39,Group Joiner - 'Pinky_MALAYSIA39' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA40,Group Joiner - 'Pinky_MALAYSIA40' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA41,Group Joiner - 'Pinky_MALAYSIA41' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA42,Group Joiner - 'Pinky_MALAYSIA42' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA43,Group Joiner - 'Pinky_MALAYSIA43' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA44,Group Joiner - 'Pinky_MALAYSIA44' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA45,Group Joiner - 'Pinky_MALAYSIA45' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA46,Group Joiner - 'Pinky_MALAYSIA46' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA47,Group Joiner - 'Pinky_MALAYSIA47' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA48,Group Joiner - 'Pinky_MALAYSIA48' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA49,Group Joiner - 'Pinky_MALAYSIA49' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA50,Group Joiner - 'Pinky_MALAYSIA50' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA51,Group Joiner - 'Pinky_MALAYSIA51' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA52,Group Joiner - 'Pinky_MALAYSIA52' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA53,Group Joiner - 'Pinky_MALAYSIA53' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA54,Group Joiner - 'Pinky_MALAYSIA54' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA55,Group Joiner - 'Pinky_MALAYSIA55' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA56,Group Joiner - 'Pinky_MALAYSIA56' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA57,Group Joiner - 'Pinky_MALAYSIA57' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA58,Group Joiner - 'Pinky_MALAYSIA58' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA59,Group Joiner - 'Pinky_MALAYSIA59' -  is active
11/11/2022 09:11:31,Pinky_MALAYSIA60,Group Joiner - 'Pinky_MALAYSIA60' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA61,Group Joiner - 'Pinky_MALAYSIA61' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA62,Group Joiner - 'Pinky_MALAYSIA62' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA63,Group Joiner - 'Pinky_MALAYSIA63' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA64,Group Joiner - 'Pinky_MALAYSIA64' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA65,Group Joiner - 'Pinky_MALAYSIA65' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA66,Group Joiner - 'Pinky_MALAYSIA66' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA67,Group Joiner - 'Pinky_MALAYSIA67' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA68,Group Joiner - 'Pinky_MALAYSIA68' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA69,Group Joiner - 'Pinky_MALAYSIA69' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA70,Group Joiner - 'Pinky_MALAYSIA70' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA6,Group Joiner - 'Pinky_MALAYSIA6' -  is active
11/11/2022 09:11:32,Pinky_MALAYSIA51,Cookies successfully imported for 'Pinky_MALAYSIA51'.
11/11/2022 09:11:33,Pinky_MALAYSIA48,Group Joiner - 'Pinky_MALAYSIA48' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:11:33,Pinky_MALAYSIA69,Group Joiner - 'Pinky_MALAYSIA69' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:11:33,Pinky_MALAYSIA58,Group Joiner - 'Pinky_MALAYSIA58' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:11:33,Pinky_MALAYSIA8,Group Joiner - 'Pinky_MALAYSIA8' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:11:33,Pinky_MALAYSIA61,Group Joiner - 'Pinky_MALAYSIA61' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:12:06,Pinky_MALAYSIA69,Group Joiner - Error executing for the 'Pinky_MALAYSIA69' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/460183919270756
11/11/2022 09:12:06,Pinky_MALAYSIA51,Group Joiner - 'Pinky_MALAYSIA51' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:12:37,Pinky_MALAYSIA8,Group Joiner - Pinky_MALAYSIA8 - Finished operation
11/11/2022 09:12:38,Pinky_MALAYSIA48,Group Joiner - Pinky_MALAYSIA48 - Finished operation
11/11/2022 09:12:38,Pinky_MALAYSIA58,Group Joiner - Pinky_MALAYSIA58 - Finished operation
11/11/2022 09:12:39,Pinky_MALAYSIA20,Group Joiner - 'Pinky_MALAYSIA20' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:12:39,Pinky_MALAYSIA41,Group Joiner - 'Pinky_MALAYSIA41' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:12:40,Pinky_MALAYSIA52,Group Joiner - 'Pinky_MALAYSIA52' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:12:40,Pinky_MALAYSIA61,Group Joiner - Pinky_MALAYSIA61 - Finished operation
11/11/2022 09:12:43,Pinky_MALAYSIA36,Group Joiner - 'Pinky_MALAYSIA36' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:13:13,Pinky_MALAYSIA51,Group Joiner - Pinky_MALAYSIA51 - Finished operation
11/11/2022 09:13:16,Pinky_MALAYSIA45,Group Joiner - 'Pinky_MALAYSIA45' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:13:52,Pinky_MALAYSIA41,Group Joiner - Pinky_MALAYSIA41 - Finished operation
11/11/2022 09:13:52,Pinky_MALAYSIA66,Group Joiner - 'Pinky_MALAYSIA66' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:13:54,Pinky_MALAYSIA20,Group Joiner - Pinky_MALAYSIA20 - Finished operation
11/11/2022 09:13:55,Pinky_MALAYSIA52,Group Joiner - Pinky_MALAYSIA52 - Finished operation
11/11/2022 09:13:55,Pinky_MALAYSIA14,Group Joiner - 'Pinky_MALAYSIA14' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:13:55,Pinky_MALAYSIA44,Group Joiner - 'Pinky_MALAYSIA44' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:13:57,Pinky_MALAYSIA36,Group Joiner - Pinky_MALAYSIA36 - Finished operation
11/11/2022 09:13:58,Pinky_MALAYSIA26,Group Joiner - 'Pinky_MALAYSIA26' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:14:34,Pinky_MALAYSIA45,Group Joiner - Pinky_MALAYSIA45 - Finished operation
11/11/2022 09:14:35,Pinky_MALAYSIA46,Group Joiner - 'Pinky_MALAYSIA46' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:14:36,Pinky_MALAYSIA66,Group Joiner - Pinky_MALAYSIA66 - Finished operation
11/11/2022 09:14:38,Pinky_MALAYSIA24,Group Joiner - 'Pinky_MALAYSIA24' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 09:14:54,Pinky_MALAYSIA26,Group Joiner - Pinky_MALAYSIA26 - Finished operation
